feature,importancia
setores_ruins_total,0.144933476300182
d7_smart_187_raw,0.13894138596323397
smart_187_raw,0.1207487223140815
smart_198_raw,0.08215613124546299
smart_197_raw,0.06316298294078102
d7_smart_198_raw,0.06144811436524816
smart_5_raw,0.060850492154050806
anos_ligado,0.060524378739528636
smart_12_raw,0.05961019212540433
smart_9_raw,0.05822661977498447
d7_smart_197_raw,0.04484638551757387
smart_188_raw,0.027978935948654957
d7_smart_5_raw,0.024423256578561117
smart_199_raw,0.01681351404105825
smart_194_raw,0.011534512941357095
d7_smart_188_raw,0.011032581444903827
capacidade_gb,0.009726685662658491
eh_ssd,0.002088994178909318
d7_smart_199_raw,0.0009526377633652757
