feature,importancia
setores_ruins_total,0.23162119836853212
smart_5_raw,0.1864161767096812
smart_197_raw,0.1344710054102416
capacidade_gb,0.05809468680509039
anos_ligado,0.057267318960797634
smart_9_raw,0.05642856077157023
smart_12_raw,0.05305252544288591
smart_198_raw,0.04904281318106903
smart_187_raw,0.03837564824594966
d7_smart_5_raw,0.0367663620844662
smart_194_raw,0.035237548660148825
d7_smart_197_raw,0.02372944600444057
smart_188_raw,0.015936704682688024
d7_smart_187_raw,0.013956157326411376
d7_smart_188_raw,0.004102173213929748
d7_smart_198_raw,0.0025384468654824355
smart_199_raw,0.0019183681145728535
d7_smart_199_raw,0.0006112445446572555
eh_ssd,0.00043361460738500305
